grade,module,skill,topic,standard,teaching_point,grammar_ref,vocab_list,example
3,All,Grammar,Core grammar for Grade 3,"Use 'be', 'have got', Present Progressive and Present Simple to talk about self, family, actions now and daily routines.","Introduce and practise verb 'be' (I am/I'm, You are/You're, He/She/It is/He's/She's), verb 'have got' for possession, Present Progressive for actions happening now, and Present Simple with adverbs of frequency for daily routines.",I am nine. I'm nine. She has got a bike. She hasn't got a bike. They are playing football. They always go to school at seven o'clock.,"family, everyday activities, toys, places in town, feelings",I have got a red bike and I always ride it after school.
3,All,Vocabulary,Core vocabulary for Grade 3,"Recognise and use everyday words about people, family, free time, school and places in town.","Teach high‑frequency words for family members, physical appearance, common actions, free‑time activities, animals and basic places in town using pictures and simple sentences.",Use simple sentences with be/can/have got to recycle vocabulary.,"mother, father, sister, brother, teacher, tall, short, hungry, tired, park, school, supermarket, play, swim, read",My brother is tall and he likes to play in the park.
3,All,ReadingComprehension,"Short texts about self, family and daily life",Understand the main idea and simple details in short illustrated texts about familiar topics.,"Ask learners to match sentences to pictures, choose True/False and answer simple WH‑questions about who, where and what in short texts.","Texts mainly use Present Simple, Present Progressive and be/have got.","who, where, what, family, school, play, favourite",Who is in the picture? Where are they? What are they doing?
3,All,Writing,Guided sentences and short paragraphs,"Write simple sentences and a short paragraph about themselves, their family and daily routines.","Support learners to write 3–5 linked sentences using models and word banks. Focus on capital letters, full stops and using I/He/She correctly.","Use 'I am…', 'I have got…', 'I like…', 'I always…' to begin sentences.","name, age, family, like, don’t like, always, sometimes",I am nine years old. I have got one sister. I always do my homework in the afternoon.
3,All,LanguageFunction,"Greetings, introductions and classroom language","Use simple language functions such as greeting, introducing, asking for things and expressing likes.","Practise fixed expressions: Hello, how are you? What’s your name? This is my friend… Can I have a pencil, please? I like…, I don’t like…",Use question forms with be/can and fixed chunks for politeness.,"hello, hi, please, thank you, sorry, my name is…, this is…","Hello, my name is Omar. This is my friend Sara."
3,All,Phonics,Basic consonant blends and long/short vowels,Recognise and pronounce common consonant blends and basic vowel sounds in familiar words.,"Focus on blends such as /pl/, /bl/, /gr/, /sm/, /sn/ and word families from the syllabus. Link sounds to pictures and words from the units.",Not applicable – focus on sound–spelling patterns.,"plane, blue, green, smile, snake, swim, school, shop, chair","Students read and circle the words that start with /pl/: plane, plum, play."
4,All,Grammar,Core grammar for Grade 4,"Use Present Simple and Present Progressive, have to/don’t have to, there is/are, and Past Simple for basic stories.","Contrast Present Simple for routines with Present Progressive for actions now, use have to/don’t have to for rules, there is/there are for describing places, and introduce Past Simple of common regular and irregular verbs.","She usually goes to school by bus, but today she is walking. You have to wear a helmet. There are some apples. Yesterday we went to the park.","daily routines, school subjects, food, sports and past time expressions","She usually walks to school, but today she is going by car."
4,All,Vocabulary,Core vocabulary for Grade 4,"Use vocabulary for school life, hobbies, food, sports and places around town.","Teach topic‑based word sets: school subjects, favourite activities, food and drink, sports and sports equipment, and places in town. Recycle in simple questions and descriptions.",Use Present Simple and there is/are sentences to recycle vocabulary.,"maths, science, English, art, favourite, play football, read comics, cheese, bread, juice, helmet, racket, museum, library",My favourite subject is English and I like playing football after school.
4,All,ReadingComprehension,"Texts about routines, favourites, trips and sports","Understand short texts about daily routines, favourites, free time, food and sports, and find specific details.","Use short paragraphs, timetables and menus. Ask learners to answer WH‑questions, choose True/False and match headings or pictures to paragraphs.","Texts mainly use Present Simple, with some Present Progressive and Past Simple.","timetable, favourite, weekend, always, never, yesterday, price, menu",Read the text about Rashid’s day and answer: What time does he get up? What does he usually do after school?
4,All,Writing,"Short paragraphs about routines, favourites and past events","Write linked sentences and short paragraphs to describe routines, likes and simple past events.","Support learners to write 5–7 sentences using models and planning prompts. Encourage the use of sequencing words (first, then, after that, finally) and basic connectors (and, but, because).","Use Present Simple for routines, and Past Simple verbs for a day in the past.","first, then, after that, finally, yesterday, last weekend, because","First I get up at seven, then I have breakfast. After that I go to school. At the weekend I played football with my friends."
4,All,LanguageFunction,"Talking about favourites, making requests and giving simple opinions","Use simple language functions to talk about likes and dislikes, favourites, and to make polite requests.","Practise patterns such as: What’s your favourite…? My favourite … is …; I like … but I don’t like …; Can I have …, please? Would you like …? and simple opinion starters (I think…, I love…, I hate…).",Use Present Simple questions and answers plus would like/can for polite language.,"favourite, like, love, hate, can I have, would you like",What’s your favourite sport? My favourite sport is basketball because it’s exciting.
4,All,Phonics,Vowel sounds and tricky spellings,Recognise common long and short vowel patterns and silent letters in high‑frequency words.,"Work on sounds such as /θ/ and /ð/, long /eɪ/ (rain, train), and silent letters (knee, night). Link phonics to words from the units and reading texts.",Not applicable – focus on decoding and pronunciation accuracy.,"thin, this, three, train, rain, knee, knife, night, high","Learners read a list of words and underline the silent letters: knee, knife, high."
5,All,Grammar,Core grammar for Grade 5,"Use Present Simple and Progressive, Past Simple, comparatives and superlatives, future forms and modal verbs.","Consolidate Present Simple vs Progressive, extend Past Simple with more irregular verbs, introduce comparative and superlative adjectives, basic future with will/going to, and modals like should/shouldn’t for advice.","He usually walks to school, but today he is taking the bus. Yesterday they went to the museum. Maths is more difficult than English. You should eat more fruit. I’m going to visit my cousin next weekend.","school life, holidays, technology, health, food and quantifiers","English is easier than maths, and I’m going to study it this evening."
5,All,Vocabulary,Core vocabulary for Grade 5,"Use vocabulary for people, school, travel, technology, health and food.","Teach and recycle sets of words: jobs and people, city and travel, technology and gadgets, health and exercise, and food with containers and quantities.","Use comparative sentences, there is/are and quantifiers to practise vocabulary.","coach, reporter, interview, skyscraper, underground, laptop, tablet, exercise, junk food, healthy snacks, bottle, packet, bar","The museum is more interesting than the shopping mall, but the shopping mall is bigger."
5,All,ReadingComprehension,"Information texts, stories and simple reports","Understand the main idea and details in short stories, information texts and simple reports.","Use pre‑reading questions, then ask learners to identify main ideas, match headings, and answer WH‑questions. Include simple inference and comparison questions.","Texts use a mix of Present Simple, Past Simple and future forms.","paragraph, heading, fact, opinion, description, story",Read the text about healthy living and answer: Why should we drink water? What food should we eat less of?
5,All,Writing,Paragraph writing and short compositions,"Write coherent paragraphs to describe people, places, routines, past events and future plans.","Support learners to plan writing with mind maps and sentence starters. Focus on topic sentences, supporting details and basic connectors (and, but, because, so). Encourage use of sequence words in stories.","Use Past Simple for stories, Present Simple for descriptions and will/going to for plans.","first, next, then, after that, finally, because, so","Last weekend we went to the beach. First we swam in the sea, then we had a picnic. After that we played volleyball."
5,All,LanguageFunction,"Asking for information, giving advice and making suggestions","Use functional language to ask for and give information, make suggestions and give simple advice.","Practise questions like Where is…?, How can I get to…?, and functional phrases like Let’s…, Shall we…?, You should/shouldn’t…, I think…, In my opinion…","Use modals (should, can), Let’s and question forms with where/how.","let’s, shall we, you should, you shouldn’t, in my opinion, I think","You should do your homework first, then you can play computer games."
5,All,Phonics,Complex vowel patterns and irregular spellings,Recognise and pronounce more complex vowel patterns and irregular spellings in high‑frequency words.,"Review patterns such as ow/ou, igh, silent letters and common irregular spellings in core vocabulary. Link phonics to reading longer words in context.",Not applicable – focus on decoding multi‑syllable words accurately.,"tower, mountain, journey, enough, cough, night, bright, through",Learners sort words with ow/ou sounds into two groups and read them aloud.
6,All,Grammar,Core grammar for Grade 6,"Use a wider range of tenses and structures: Present Perfect, passive voice, Past Perfect, future forms and modal verbs.","Introduce Present Perfect for experiences, Present Simple passive for facts, Past Perfect in simple story contexts, a range of future forms (will, going to, Present Continuous for arrangements) and more complex modal uses.",I have never been to London. English is spoken in many countries. He had finished his homework before he watched TV. We are going to visit the museum. You must wear your seat belt.,"experiences, world facts, stories, plans, rules and obligations","I have already done my homework, so I’m going to play football now."
6,All,Vocabulary,Core vocabulary for Grade 6,"Use vocabulary for global topics, technology, safety, health, work and future plans.","Build topic‑based sets: natural disasters, survival, digital safety, jobs and workplaces, city life, and education and future careers. Encourage learners to use new words in speaking and writing.","Recycle new vocabulary in Present Perfect, passive and future sentences.","earthquake, tsunami, flood, survive, website, password, download, upload, university, career, plan, goal",People can survive a flood if they move to safe places quickly.
6,All,ReadingComprehension,Longer factual texts and stories,"Understand main ideas, supporting details and simple inferences in longer texts.","Use pre‑reading prediction, then ask learners to find specific information, match headings, order events and infer meaning of new words from context.","Texts may mix many tenses (Present Perfect, Past Simple, Past Perfect, passive).","paragraph, heading, detail, sequence, cause, effect",Read the text about natural disasters and answer: What caused the tsunami? How did people survive?
6,All,Writing,Multi‑paragraph writing and short reports,"Write short multi‑paragraph texts such as stories, reports and opinion paragraphs.","Support planning with outlines (introduction, main paragraphs, conclusion). Encourage the use of linking expressions like however, although, in addition, and because/so for reasons and results.","Use a range of tenses and connectors to show time, contrast and reason.","however, although, in addition, because, so, first of all, in conclusion","In conclusion, we should recycle more because it helps protect the environment."
6,All,LanguageFunction,"Expressing opinions, making predictions and giving advice","Use more advanced functional language to express opinions, agree and disagree politely, make predictions and give advice.","Practise phrases such as I believe…, In my opinion…, I (don’t) agree because…, It will probably…, You should…, You mustn’t… in meaningful contexts.","Use modals (will, should, must) and linking words for giving reasons.","I believe, in my opinion, I agree, I disagree, probably, should, must, mustn’t","In my opinion, we should use technology carefully because it can be dangerous if we share personal information."
6,All,Phonics,Review of complex patterns and stress,Consolidate understanding of complex spelling patterns and stress in multi‑syllable words.,Review irregular spellings and sound patterns from previous grades. Practise word stress and pronunciation of longer academic and topic‑based words.,Not applicable – focus on pronunciation and spelling.,"education, communication, population, responsible, environment, technology","Learners mark the stress in words like education, communication and technology, then read them aloud."
